Temp,Humd,Label
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
22.0,32.0,1
23.0,32.0,1
23.0,32.0,1
23.0,32.0,1
